level	pdf_page	section
4	806	B5-6-01, HomeReady Mortgage Loan and Borrower Eligibility (06/04/2025)
4	811	B5-6-02, HomeReady Mortgage Underwriting Methods and Requirements (11/05/2025)
4	816	B5-6-03, HomeReady Mortgage Loan Pricing, Mortgage Insurance, and Special Feature Codes (06/05/2024)
3	817	Chapter B5-7, High Loan-to-Value Refinance Option
4	817	B5-7-01, High LTV Refinance Loan and Borrower Eligibility (08/06/2025)
4	822	B5-7-02, High LTV Refinance Underwriting, Documentation, and Collateral Requirements for the New Loan (09/03/2025)
4	826	B5-7-03, High LTV Refinance Alternative Qualification Path (06/04/2025)
4	831	B5-7-04, High LTV Refinance Representations and Warranties (03/01/2023)
4	832	B5-7-05, High LTV Refinance Pricing, Mortgage Insurance, and Special Feature Codes (08/07/2018)
2	834	Subpart B6, Government Programs Eligibility and Underwriting Requirements
3	835	Chapter B6-1, Government Insured and Guaranteed Mortgages
4	835	B6-1-01, General Government Mortgage Loan Requirements (07/05/2023)
4	838	B6-1-02, Eligible FHA-Insured Mortgage Loans (08/05/2020)
4	839	B6-1-03, Eligible VA-Guaranteed Mortgages (02/02/2022)
4	840	B6-1-04, Eligible HUD-Guaranteed Section 184 Mortgages (12/14/2022)
4	842	B6-1-05, Eligible RD-Guaranteed Mortgages (12/14/2022)
2	844	Subpart B7, Insurance
3	844	Chapter B7-1, Mortgage Insurance/Loan Guaranty
4	844	B7-1-01, Provision of Mortgage Insurance (04/02/2025)
4	850	B7-1-02, Mortgage Insurance Coverage Requirements (08/07/2019)
4	851	B7-1-03, Lender-Purchased Mortgage Insurance (05/27/2010)
4	853	B7-1-04, Financed Borrower-Purchased Mortgage Insurance (12/15/2021)
4	855	B7-1-05, Government Mortgage Loan Guaranty or Insurance (02/23/2016)
3	857	Chapter B7-2, Title Insurance
4	858	B7-2-01, Provision of Title Insurance (04/06/2022)
4	858	B7-2-02, Title Insurer Requirements (06/05/2019)
4	859	B7-2-03, General Title Insurance Coverage (07/06/2022)
4	861	B7-2-04, Special Title Insurance Coverage Considerations (05/03/2023)
4	865	B7-2-05, Title Exceptions and Impediments (07/06/2022)
4	868	B7-2-06, Attorney Title Opinion Letter Requirements (12/10/2025)
3	870	Chapter B7-3, Property and Flood Insurance
4	870	B7-3-01, General Property Insurance Requirements for All Property Types (12/14/2022)
4	873	B7-3-02, Property Insurance Requirements for One-to Four-Unit Properties (08/05/2026)
4	875	B7-3-03, Master Property Insurance Requirements for Project Developments (08/05/2026)
4	882	B7-3-04, Property Insurance Requirements for Individual Units in a Project Development (08/05/2026)
4	884	B7-3-05, Additional Insurance Requirements (12/14/2022)
4	887	B7-3-06, Flood Insurance Requirements for All Property Types (02/07/2024)
4	894	B7-3-07, Evidence of Property Insurance (08/05/2026)
4	897	B7-3-08, Mortgagee Clause, Named Insured, and Notice of Cancellation Requirements (12/14/2022)
3	899	Chapter B7-4, Liability and Fidelity/Crime Insurance Requirements for Project Developments
4	900	B7-4-01, General Liability Insurance Requirements for Project Developments (08/05/2026)
4	901	B7-4-02, Fidelity/Crime Insurance Requirements for Project Developments (08/05/2026)
2	903	Subpart B8, Closing: Legal Documents
3	903	Chapter B8-1, General Information on Legal Documents
4	903	B8-1-01, Publication of Legal Documents (06/28/2011)
3	904	Chapter B8-2, Security Instruments
4	905	B8-2-01, Security Instruments for Conventional Mortgages (02/06/2019)
